Creator,Total Connections,Influencer Type,Primary Social Network,Main Channel Name,Description,Categories,Content Notes,City,State,Country,Instagram Followers
Mukul Gain,"8,446,041",Dancer,Instagram,mukulgain.official,Artist. Dancer 🕺 Choreography & TV reality show D4 dance junior 🆚 senior  Dhee10 finalist 😎🖖 Aata juniors Super dancer  Thnq God for every thing,Entertainment,Posts cultural dance videos with his friends and girlfriend. ,Hyderabad,,India,4311441
Aman Lalani,"6,342,854",Content Creator,Youtube,technicalmasterminds,↗️ Or Information? Subscribe kro YouTube pe Apni problem message kro INSTAGRAM p,"Technology, Education",Creates videos on the latest technology including reviews and tips.,,,India,462854
Harshvardhan Rane,"5,521,177",Actor,Instagram,harshvardhanrane,Harshavardhan Raneis an Indian film actor known for his works in Telugu cinema. He is best known for Thakita Thakita  Prema Ishq Kaadhal  and Anaamika.In 2016  he made his Bollywood debut with Sanam Teri Kasam which received mixed reviews.,"Television, Film",Posts professional modelling and safari animals pictures. Does brand collaboration posts.,Mumbai,,India,2543421
Samreen Ali,"5,060,635",Vlogger,Youtube,samreenali142,400k GOALS\\ud83d\\udd25 •YouTuber \\ud83e\\udd8b •Delhite\\ud83d\\udccd,"Lifestyle, People","Creates relatable contents with her family and friends, and vlogs her daily life.",,,India,424535
Sanket Mehta,"4,414,862",Social Media Personality,Instagram,sankett25,Let’s create something❓ •content creator @nofiltr.group   E-mail for collaborations📩,"Entertainment, Fashion",Posts Instagram-worthy pictures in cool outfits with beautiful backdrops.,Mumbai,,India,920201
Hastu Goyal,"4,200,547",Social Media Personality,Instagram,hastu__goyal,Never give up. Great things take time. Be patient.❤️  Instagram = hastu__goyal,"Entertainment, Fashion",Makes video sketches related to local film culture. Also posts Instagram-worthy pictures of herself.,,,India,1101547
Celina Sharma,"3,200,050",Singer,TikTok,celina.sharma,Singer who has risen to fame for her self-titled YouTube channel. She has earned massive popularity as a pop singer for sharing her original songs and travel vlogs.,"Music, Beauty","Posts pretty videos of herself dancing and, singing covers and her own songs.",Sydney,,United Kingdom,524406
Bir Ramgarhia,"2,870,768",Vlogger,Youtube,birramgarhia,OFFICIAL INSTA 👆🏼 say 😐LESS DO 👻more,"Lifestyle, People, Technology, Food","Vlogs his daily life living in Australia. Also makes travel vlogs, tech gear and food reviews.",Amritsar,Punjab,India,853668
soumili pramanik,"2,315,983",Social Media Personality,Instagram,soumili7,LIVE.LAUGH.LOVE.❤? ?Kolkata.  18,"Entertainment, People",Makes lip-sync videos of local songs with husband.,,,India,215983
🔥DANCERRITESH 🔥,"1,602,846",Dancer,TikTok,dancerritesh,🔥ODISHA  JAJPUR🔥\n   #dancerritesh\nodia and hindi tiktoker\ninst id dancerritesh,"Hobby, Lifestyle",Posts dance videos of local songs.,,,India,389634
Shain,"954,042",Vlogger,Youtube,wanderinggfoodie,▫️Ardent നാടൻ Foodie 🍽🍹\n▫️Abu Dhabi 🇦🇪 തൃശൂർ ഗഡി 🐘😎\n𝗦𝗼𝗿𝗿𝘆! 𝗡𝗼 𝗶𝗻𝘃𝗶𝘁𝗲𝘀\/𝗖𝗼𝗹𝗹𝗮𝗯𝘀 𝗘𝘅𝗽𝗲𝗰𝘁𝗲𝗱 𝗼𝗿 𝗔𝗰𝗰𝗲𝗽𝘁𝗲𝗱 😊,"Travel, Food",Vlogs about the places and food in his trips. Also makes content about the places he's travelled.,Abu Dhabi,,United Arab Emirates,300742
Pooja Naarang,"906,612",Social Media Personality,Instagram,poojanaarang,ud83d\\udc7b: poojapn  B creative. Don’t forget to use #duetwithpooja \\ud83e\\udd1f\\ud83c\\udffb,"Beauty, Fashion",Posts Instagram-worthy pictures in sexy outfits with beautiful backdrops.,,,India,454512
